Trial,Location,Lat,Lon,Year,rep,col,row,geno,yield
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,10,g108,2.029
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,11,g106,2.51
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,12,g109,1.892
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,13,g013,3.029
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,14,g062,2.13
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,15,g097,1.523
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,16,g084,2.523
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,17,g064,1.767
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,18,g131,2.712
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,19,g099,3.284
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,20,g132,2.925
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,21,g073,3.36
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,22,g015,3.178
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,23,g104,2.728
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,24,g150,2.763
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,25,g019,3.521
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,26,g115,1.846
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,1,g128,2.367
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,2,g021,2.02
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,4,g080,2.266
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,5,g045,2.446
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,6,g061,1.453
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,7,g055,2.312
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,8,g116,2.631
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,9,g044,1.879
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,10,g098,2.565
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,11,g072,2.574
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,12,g151,2.877
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,13,g127,2.851
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,14,g081,3.47
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,15,g054,3.365
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,16,g100,3.042
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,17,g124,2.884
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,18,g020,3.486
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,19,g024,2.976
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,20,g016,2.811
CM08,Coomalbidgup,-33.8,120.64,2008,2,10,21,g009,2.433
